time_us,position
530,0
10299,-1
20301,-5
30303,-11
40306,-19
50308,-28
60310,-37
70312,-47
80315,-57
90317,-69
100320,-80
110322,-91
120324,-103
130326,-115
140329,-127
150331,-139
160334,-152
170336,-164
180338,-177
190340,-189
200343,-202
210353,-214
220355,-227
230358,-240
240359,-252
250363,-265
260364,-278
270367,-290
280369,-303
290372,-316
300373,-329
310376,-342
320378,-355
330381,-367
340382,-380
350385,-393
360387,-406
370390,-418
380391,-432
390394,-444
400396,-457
410999,-471
420003,-483
430007,-496
440010,-509
450016,-522
460022,-534
470025,-547
480028,-560
490030,-573
500033,-586
510037,-598
520040,-612
530042,-624
540044,-637
550047,-650
560050,-663
570053,-676
580054,-689
590057,-702
600059,-715
610062,-728
620063,-741
630069,-753
640072,-766
650073,-779
660076,-792
670078,-805
680081,-818
690082,-831
700085,-844
710087,-857
720090,-870
730092,-883
740094,-896
750097,-909
760098,-921
770101,-934
780103,-948
790106,-960
800108,-973
810110,-986
820113,-1000
830114,-1012
840117,-1025
850119,-1038
860122,-1051
870123,-1064
880126,-1077
890129,-1090
900130,-1103
910133,-1116
920134,-1129
930138,-1142
940139,-1155
950142,-1168
960144,-1181
970146,-1194
980149,-1207
990150,-1220
1000153,-1233
1010155,-1245
1020158,-1258
1030159,-1271
1040162,-1284
1050167,-1297
1060168,-1310
1070171,-1323
1080173,-1336
1090176,-1349
1100177,-1362
1110180,-1375
1120183,-1388
1130164,-1401
1140187,-1414
1150190,-1427
1160191,-1440
1170194,-1453
1180196,-1466
1190199,-1478
1200200,-1492
1210185,-1504
1220186,-1517
1230208,-1530
1240209,-1543
1250213,-1556
1260214,-1569
1270217,-1582
1280219,-1595
1290203,-1608
1300205,-1621
1310226,-1634
1320228,-1647
1330231,-1660
1340232,-1673
1350235,-1686
1360237,-1699
1370222,-1712
1380223,-1725
1390245,-1737
1400246,-1750
1410249,-1763
1420251,-1776
1430254,-1789
1440256,-1802
1450240,-1815
1460241,-1828
1470263,-1841
1480264,-1854
1490268,-1867
1500270,-1880
1510272,-1893
1520274,-1905
1530258,-1918
1540260,-1932
1550282,-1944
1560284,-1957
1570286,-1970
1580288,-1983
1590291,-1996
1600294,-2009
1610277,-2022
1620279,-2035
1630294,-2048
1640296,-2061
1650304,-2074
1660307,-2087
1670309,-2100
1680311,-2113
1690299,-2126
1700300,-2138
1710318,-2152
1720321,-2165
1730323,-2177
1740325,-2190
1750327,-2203
1760331,-2216
1770313,-2229
1780316,-2242
1790336,-2255
1800339,-2268
1810341,-2281
1820343,-2294
1830345,-2307
1840348,-2320
1850332,-2333
1860334,-2346
1870336,-2359
1880357,-2372
1890359,-2385
1900362,-2397
1910364,-2410
1920367,-2424
1930350,-2437
1940352,-2450
1950354,-2462
1960376,-2476
1970378,-2489
1980380,-2502
1990382,-2514
2000385,-2528
