time_us,position
865,0
11146,-5
21148,-16
31148,-32
41148,-52
51150,-75
61152,-99
71152,-126
81153,-154
91155,-183
101156,-214
111157,-244
121158,-276
131159,-308
141161,-341
151161,-373
161162,-407
171164,-440
181166,-474
191166,-508
201167,-542
211169,-576
221170,-610
231171,-645
241171,-679
251173,-714
261175,-749
271175,-784
281176,-818
291178,-853
301179,-888
311180,-923
321181,-958
331173,-993
341185,-1029
351185,-1063
361186,-1098
371187,-1134
381189,-1169
391189,-1204
401190,-1239
411183,-1274
421194,-1310
431194,-1345
441195,-1380
451196,-1415
461198,-1450
471198,-1486
481199,-1521
491192,-1556
501203,-1591
511203,-1626
521204,-1662
531206,-1697
541207,-1733
551208,-1768
561209,-1803
571201,-1839
581212,-1874
591213,-1909
601214,-1945
611215,-1980
621217,-2016
631217,-2051
641218,-2086
651210,-2122
661213,-2157
671222,-2193
681223,-2228
691224,-2263
701226,-2299
711227,-2334
721227,-2370
731220,-2406
741221,-2441
751231,-2477
761232,-2512
771234,-2547
781235,-2583
791236,-2619
801237,-2654
811229,-2690
821230,-2726
831241,-2762
841241,-2797
851243,-2833
861245,-2869
871245,-2904
881246,-2939
891238,-2975
901240,-3011
911250,-3046
921251,-3082
931252,-3117
941254,-3153
951254,-3188
961255,-3223
971248,-3259
981250,-3294
991249,-3330
1001260,-3366
1011262,-3401
1021263,-3437
1031264,-3472
1041264,-3508
1051257,-3543
1061258,-3579
1071259,-3614
1081269,-3650
1091271,-3686
1101272,-3721
1111273,-3757
1121274,-3792
1131266,-3827
1141267,-3863
1151268,-3899
1161279,-3934
1171280,-3970
1181282,-4005
1191282,-4041
1201283,-4077
1211275,-4112
1221277,-4148
1231278,-4183
1241278,-4219
1251290,-4254
1261291,-4290
1271292,-4326
1281292,-4361
1291285,-4397
1301287,-4432
1311287,-4468
1321288,-4503
1331299,-4539
1341300,-4575
1351301,-4610
1361302,-4646
1371294,-4682
1381296,-4717
1391296,-4753
1401297,-4789
1411308,-4824
1421310,-4860
1431310,-4895
1441311,-4931
1451303,-4967
1461305,-5002
1471305,-5038
1481306,-5074
1491318,-5109
1501319,-5145
1511320,-5181
1521320,-5216
1531313,-5251
1541314,-5287
1551315,-5323
1561316,-5358
1571317,-5394
1581328,-5430
1591329,-5465
1601330,-5501
1611322,-5537
1621324,-5572
1631324,-5608
1641325,-5643
1651326,-5679
1661338,-5714
1671338,-5750
1681339,-5786
1691331,-5821
1701333,-5857
1711333,-5893
1721334,-5928
1731336,-5963
1741347,-5999
1751347,-6035
1761348,-6070
1771340,-6106
1781342,-6142
1791343,-6177
1801343,-6213
1811345,-6249
1821356,-6285
1831357,-6320
1841358,-6356
1851350,-6391
1861351,-6427
1871352,-6463
1881353,-6499
1891354,-6534
1901356,-6570
1911366,-6606
1921367,-6642
1931359,-6678
1941362,-6713
1951361,-6749
1961362,-6785
1971364,-6820
1981365,-6856
1991375,-6892
2001376,-6927
